id,hashtag,num_tweets,country,positive,negative,neutral
0,refugeeswelcome,1305,US,57,33,10
1,trump,1063,US,25,61,14
2,smartnews,856,US,15,60,25
3,maga,675,US,32,55,13
4,news,608,US,24,45,32
5,rohingya,499,US,50,39,11
6,buildthewall,440,US,22,44,33
7,closethecamps,394,US,35,57,8
8,syria,382,US,37,49,14
9,humanrights,347,US,35,51,14
10,brexit,802,UK,37,50,13
11,eu,562,UK,37,46,17
12,refugeeswelcome,498,UK,62,26,13
13,europe,294,UK,16,74,10
14,familiestogether,289,UK,37,61,2
15,news,284,UK,21,63,16
16,syria,278,UK,36,42,22
17,rohingya,255,UK,41,44,16
18,uk,246,UK,41,40,19
19,asylumseekers,206,UK,67,22,12
