hashtag,num_tweets,category,country,num_points
#refugee,3221,positive,US,115
#migrant,743,positive,US,27
#refugeewelcome,737,positive,US,26
#immigration,580,positive,US,21
#immigrant,487,positive,US,17
#asylum,300,positive,US,11
#trump,262,positive,US,9
#rohingya,249,positive,US,9
#maga,217,positive,US,8
#welcome95k,160,positive,US,6
#news,142,positive,US,5
#syria,142,positive,US,5
#migrants,142,positive,US,5
#withrefugees,138,positive,US,5
#closethecamps,138,positive,US,5
#turkey,125,positive,US,4
#aoc,124,positive,US,4
#smartnews,122,positive,US,4
#pragerforce,121,positive,US,4
#migration,120,positive,US,4
#humanrights,120,positive,US,4
#clearthelists,108,positive,US,4
#asylumseeker,99,positive,US,4
#buildthewall,99,positive,US,4
#clearthelist,96,positive,US,3
#climatechange,94,positive,US,3
#rt,94,positive,US,3
#usa,90,positive,US,3
#losangeles,90,positive,US,3
#refugee,1628,negative,US,58
#migrant,908,negative,US,32
#trump,652,negative,US,23
#immigration,628,negative,US,22
#smartnews,522,negative,US,19
#refugeewelcome,437,negative,US,16
#maga,373,negative,US,13
#investigatenow,339,negative,US,12
#wayfairwalkout,315,negative,US,11
#news,273,negative,US,10
#asylum,250,negative,US,9
#closethecamps,225,negative,US,8
#immigrant,216,negative,US,8
#topbuzz,211,negative,US,8
#rohingya,196,negative,US,7
#buildthewall,194,negative,US,7
#syria,187,negative,US,7
#foxnews,185,negative,US,7
#humanrights,179,negative,US,6
#europe,172,negative,US,6
#climatechange,158,negative,US,6
#migrants,157,negative,US,6
#ice,156,negative,US,6
#mexico,149,negative,US,5
#usa,146,negative,US,5
#turkey,137,negative,US,5
#trump2020,135,negative,US,5
#asylumseeker,132,negative,US,5
#abolishice,131,negative,US,5
#refugee,960,neutral,US,34
#migrant,554,neutral,US,20
#immigration,294,neutral,US,11
#smartnews,212,neutral,US,8
#news,193,neutral,US,7
#immigrant,150,neutral,US,5
#trump,149,neutral,US,5
#buildthewall,147,neutral,US,5
#quiktake,137,neutral,US,5
#borderobserver,137,neutral,US,5
#refugeewelcome,131,neutral,US,5
#finishthewall,115,neutral,US,4
#neonnettle,100,neutral,US,4
#foxnews,96,neutral,US,3
#migrants,94,neutral,US,3
#maga,85,neutral,US,3
#greece,80,neutral,US,3
#asylum,77,neutral,US,3
#migration,72,neutral,US,3
#asylumseeker,66,neutral,US,2
#climatechange,65,neutral,US,2
#topbuzz,64,neutral,US,2
#refugeewelcomehere,56,neutral,US,2
#rohingya,54,neutral,US,2
#syria,53,neutral,US,2
#turkey,51,neutral,US,2
#mexico,50,neutral,US,2
#humanrights,48,neutral,US,2
#europe,48,neutral,US,2
#refugee,1819,positive,UK,65
#brokenpromises,724,positive,UK,26
#migrant,532,positive,UK,19
#refugeewelcome,309,positive,UK,11
#brexit,293,positive,UK,10
#europe,188,positive,UK,7
#asylumseeker,132,positive,UK,5
#migration,119,positive,UK,4
#immigration,113,positive,UK,4
#lab19,113,positive,UK,4
#asylum,109,positive,UK,4
#communitysponsorship,108,positive,UK,4
#familiestogether,108,positive,UK,4
#rohingya,105,positive,UK,4
#syria,99,positive,UK,4
#uk,99,positive,UK,4
#unhcr,90,positive,UK,3
#hostileenvironment,88,positive,UK,3
#migrantcrisis,82,positive,UK,3
#migrants,80,positive,UK,3
#syrian,79,positive,UK,3
#charity,75,positive,UK,3
#frontex,70,positive,UK,3
#libya,70,positive,UK,3
#italy,70,positive,UK,3
#seenotrettung,69,positive,UK,2
#backatsea,67,positive,UK,2
#eu,67,positive,UK,2
#milesforrefugees,65,positive,UK,2
#refugee,903,negative,UK,32
#europe,427,negative,UK,15
#migrant,410,negative,UK,15
#brexit,403,negative,UK,14
#news,178,negative,UK,6
#familiestogether,176,negative,UK,6
#refugeewelcome,129,negative,UK,5
#travel,128,negative,UK,5
#weather,126,negative,UK,5
#euwx,126,negative,UK,5
#wx,126,negative,UK,5
#severewx,125,negative,UK,4
#syria,117,negative,UK,4
#rohingya,110,negative,UK,4
#turkey,108,negative,UK,4
#trump,102,negative,UK,4
#uk,100,negative,UK,4
#immigration,95,negative,UK,3
#hostileenvironment,93,negative,UK,3
#world,87,negative,UK,3
#remain,76,negative,UK,3
#syrian,74,negative,UK,3
#migrants,72,negative,UK,3
#indyref2,64,negative,UK,2
#greece,63,negative,UK,2
#humanrights,62,negative,UK,2
#asylum,62,negative,UK,2
#snp,61,negative,UK,2
#nicolasturgeon,61,negative,UK,2
#refugee,561,neutral,UK,20
#migrant,213,neutral,UK,8
#illegalshow,134,neutral,UK,5
#brexit,106,neutral,UK,4
#europe,90,neutral,UK,3
#care2,70,neutral,UK,3
#immigration,66,neutral,UK,2
#refugeewelcome,63,neutral,UK,2
#syria,62,neutral,UK,2
#muslims,53,neutral,UK,2
#migration,50,neutral,UK,2
#uk,47,neutral,UK,2
#news,46,neutral,UK,2
#migrants,45,neutral,UK,2
#unhcr,44,neutral,UK,2
#refugeecrisis,44,neutral,UK,2
#libya,43,neutral,UK,2
#migrantcrisis,41,neutral,UK,1
#rohingya,40,neutral,UK,1
#turkey,39,neutral,UK,1
#frontex,33,neutral,UK,1
#seenotrettung,33,neutral,UK,1
#eu,33,neutral,UK,1
#europol,31,neutral,UK,1
#libyschekí_stenwache,31,neutral,UK,1
#asylum,29,neutral,UK,1
#asylumseeker,29,neutral,UK,1
#trump,29,neutral,UK,1
#backatsea,28,neutral,UK,1
