id,country,sentiment,proportion
100,US,positive,US
101,US,positive,US
102,US,positive,US
103,US,positive,US
104,US,positive,US
105,US,positive,US
106,US,positive,US
107,US,positive,US
108,US,positive,US
109,US,positive,US
110,US,positive,US
111,US,positive,US
112,US,positive,US
113,US,positive,US
114,US,positive,US
115,US,positive,US
116,US,positive,US
117,US,positive,US
118,US,positive,US
119,US,positive,US
120,US,positive,US
121,US,positive,US
122,US,positive,US
123,US,positive,US
124,US,positive,US
125,US,positive,US
126,US,positive,US
127,US,positive,US
128,US,positive,US
129,US,positive,US
130,US,positive,US
131,US,positive,US
132,US,positive,US
133,US,positive,US
134,US,positive,US
135,US,positive,US
136,US,positive,US
137,US,positive,US
138,US,positive,US
139,US,positive,US
140,US,positive,US
141,US,positive,US
142,US,positive,US
143,US,positive,US
144,US,positive,US
145,US,positive,US
146,US,positive,US
147,US,positive,US
148,US,positive,US
149,US,positive,US
150,US,positive,US
151,US,positive,US
152,US,positive,US
153,US,positive,US
154,US,positive,US
155,US,positive,US
156,US,positive,US
157,US,positive,US
158,US,positive,US
159,US,positive,US
160,US,positive,US
161,US,positive,US
162,US,positive,US
163,US,positive,US
164,US,positive,US
165,US,positive,US
166,US,positive,US
167,US,positive,US
168,US,positive,US
169,US,positive,US
170,US,positive,US
171,US,positive,US
172,US,positive,US
173,US,positive,US
174,US,positive,US
175,US,positive,US
176,US,positive,US
177,US,positive,US
178,US,positive,US
179,US,positive,US
180,US,positive,US
181,US,positive,US
182,US,positive,US
183,US,negative,US
184,US,negative,US
185,US,negative,US
186,US,negative,US
187,US,negative,US
188,US,negative,US
189,US,negative,US
190,US,negative,US
191,US,negative,US
192,US,negative,US
193,US,negative,US
194,US,negative,US
195,US,negative,US
196,US,negative,US
197,US,negative,US
198,US,negative,US
199,US,negative,US
200,US,negative,US
201,US,negative,US
202,US,negative,US
203,US,negative,US
204,US,negative,US
205,US,negative,US
206,US,negative,US
207,US,negative,US
208,US,negative,US
209,US,negative,US
210,US,negative,US
211,US,negative,US
212,US,negative,US
213,US,negative,US
214,US,negative,US
215,US,negative,US
216,US,negative,US
217,US,negative,UK
218,US,negative,UK
219,US,negative,UK
220,US,negative,UK
221,US,negative,UK
222,US,negative,UK
223,US,negative,UK
224,US,negative,UK
225,US,negative,UK
226,US,negative,UK
227,US,negative,UK
228,US,negative,UK
229,US,negative,UK
230,US,negative,UK
231,US,negative,UK
232,US,negative,UK
233,US,negative,UK
234,US,negative,UK
235,US,negative,UK
236,US,negative,UK
237,US,negative,UK
238,US,negative,UK
239,US,negative,UK
240,US,negative,UK
241,US,negative,UK
242,US,negative,UK
243,US,negative,UK
244,US,negative,UK
245,US,negative,UK
246,US,negative,UK
247,US,negative,UK
248,US,negative,UK
249,US,negative,UK
250,US,negative,UK
251,US,negative,UK
252,US,negative,UK
253,US,negative,UK
254,US,negative,UK
255,US,negative,UK
256,US,negative,UK
257,US,negative,UK
258,US,negative,UK
259,US,negative,UK
260,US,negative,UK
261,US,negative,UK
262,US,negative,UK
263,US,negative,UK
264,US,negative,UK
265,US,negative,UK
266,US,negative,UK
267,US,negative,UK
268,US,negative,UK
269,US,negative,UK
270,US,negative,UK
271,US,negative,UK
272,US,negative,UK
273,US,negative,UK
274,US,negative,UK
275,US,negative,UK
276,US,negative,UK
277,US,negative,UK
278,US,negative,UK
279,US,negative,UK
280,US,negative,UK
281,US,negative,UK
282,US,negative,UK
283,US,negative,UK
284,US,negative,UK
285,US,negative,UK
286,US,negative,UK
287,US,negative,UK
288,US,negative,UK
289,US,negative,UK
290,US,negative,UK
291,US,negative,UK
292,US,negative,UK
293,US,negative,UK
294,US,negative,UK
295,US,negative,UK
296,US,negative,UK
297,US,negative,UK
298,US,negative,UK
299,US,negative,UK
300,US,negative,UK
301,US,negative,UK
302,US,negative,UK
303,US,negative,UK
304,US,negative,UK
305,US,negative,UK
306,US,negative,UK
307,US,negative,UK
308,US,neutral,UK
309,US,neutral,UK
310,US,neutral,UK
311,US,neutral,UK
312,US,neutral,UK
313,US,neutral,UK
314,US,neutral,UK
315,US,neutral,UK
316,US,neutral,UK
317,US,neutral,UK
318,US,neutral,UK
319,US,neutral,UK
320,US,neutral,UK
321,US,neutral,UK
322,US,neutral,UK
323,US,neutral,UK
324,US,neutral,UK
325,US,neutral,UK
326,US,neutral,UK
327,US,neutral,UK
328,US,neutral,UK
329,US,neutral,UK
330,US,neutral,UK
331,US,neutral,UK
332,US,neutral,UK
333,US,neutral,UK
334,US,neutral,UK
335,US,neutral,UK
336,US,neutral,UK
337,US,neutral,UK
338,US,neutral,UK
339,US,neutral,UK
340,US,neutral,UK
341,US,neutral,UK
342,US,neutral,UK
343,US,neutral,UK
344,US,neutral,UK
345,US,neutral,UK
346,US,neutral,UK
347,US,neutral,UK
348,US,neutral,UK
349,US,neutral,UK
350,US,neutral,UK
0,UK,positive,UK
1,UK,positive,UK
2,UK,positive,UK
3,UK,positive,UK
4,UK,positive,UK
5,UK,positive,UK
6,UK,positive,UK
7,UK,positive,UK
8,UK,positive,UK
9,UK,positive,UK
10,UK,positive,UK
11,UK,positive,UK
12,UK,positive,UK
13,UK,positive,UK
14,UK,positive,UK
15,UK,positive,UK
16,UK,positive,UK
17,UK,positive,UK
18,UK,positive,UK
19,UK,positive,UK
20,UK,positive,UK
21,UK,positive,UK
22,UK,positive,UK
23,UK,positive,UK
24,UK,positive,UK
25,UK,positive,UK
26,UK,positive,UK
27,UK,positive,UK
28,UK,positive,UK
29,UK,positive,UK
30,UK,positive,UK
31,UK,positive,UK
32,UK,positive,UK
33,UK,positive,UK
34,UK,positive,UK
35,UK,positive,UK
36,UK,positive,UK
37,UK,positive,UK
38,UK,positive,UK
39,UK,positive,UK
40,UK,positive,UK
41,UK,positive,UK
42,UK,negative,UK
43,UK,negative,UK
44,UK,negative,UK
45,UK,negative,UK
46,UK,negative,UK
47,UK,negative,UK
48,UK,negative,UK
49,UK,negative,UK
50,UK,negative,UK
51,UK,negative,UK
52,UK,negative,UK
53,UK,negative,UK
54,UK,negative,UK
55,UK,negative,UK
56,UK,negative,UK
57,UK,negative,UK
58,UK,negative,UK
59,UK,negative,UK
60,UK,negative,UK
61,UK,negative,UK
62,UK,negative,UK
63,UK,negative,UK
64,UK,negative,UK
65,UK,negative,UK
66,UK,negative,UK
67,UK,negative,UK
68,UK,negative,UK
69,UK,negative,UK
70,UK,negative,UK
71,UK,negative,UK
72,UK,negative,UK
73,UK,negative,UK
74,UK,negative,UK
75,UK,negative,UK
76,UK,negative,UK
77,UK,negative,UK
78,UK,negative,UK
79,UK,negative,UK
80,UK,negative,UK
81,UK,negative,UK
82,UK,negative,UK
83,UK,negative,UK
84,UK,neutral,UK
85,UK,neutral,UK
86,UK,neutral,UK
87,UK,neutral,UK
88,UK,neutral,UK
89,UK,neutral,UK
90,UK,neutral,UK
91,UK,neutral,UK
92,UK,neutral,UK
93,UK,neutral,UK
94,UK,neutral,UK
95,UK,neutral,UK
96,UK,neutral,UK
97,UK,neutral,UK
98,UK,neutral,UK
99,UK,neutral,UK
