,text,favorite_count,retweet_count,country,sentiment
0,Dear @BBCNews Why are British in Spain expats but Spaniards in UK are migrants?,31051,9337,United Kingdom,0.2023
1,"Italian patriot @MatteoSalviniMI tells actor Richard Gere to quit his pathetic virtue-signalling and says if he is so worried about the migrants aboard the NGO rescue ships he can take them to Hollywood ""on his private plane and support them in his villas"". Well, Richard...? ",10492,4075,United Kingdom,0.1615
2,"On what planet is this level of pay for a job at a charity EVER justified? How does he sleep at night?Ex Foreign Secretary David Miliband's pay soars to $911,000 at US refugee charity. https://t.co/yopcakR3I9",8826,3596,United Kingdom,0.782
3,"Oh wow, I've found the Chilean refugees my parents took in four decades ago. Pretty emotional, not going to lie.As ugly as the internet can be, it can also be an amazing place, too. Thank you everyone for your help! https://t.co/MdZuPgVhEf",7539,705,United Kingdom,0.9273
4,"PM to migrants crossing channel:""We will send you back... The UK should not be regarded as a place where you can automatically come and break the law by seeking to arrive illegally.""Do you agree with @BorisJohnson comment below. https://t.co/zPLxgqBRzN",4211,987,United Kingdom,0.3612
5,"Why are there so many fanatical supporters of the EU in Britain?I know there are important economic and cultural ties, and that many EU migrants are doing a great job. But why do they want the UK to be a province of an EU superstate?What do I not understand?Please help.",3727,920,United Kingdom,0.7707
6,"I really dislike this rhetoric of ""the brighest and the best"" vs. the ""undesirable"" rest. A hospital cannot function without doctors. But it also needs cleaners. There is value in different kinds of work and migrant ""contribution"" goes beyond a narrow fiscal lens.",3362,896,United Kingdom,0.5729
7,"He came to London as a refugee with no wealth, name or influence but still he went home to achieve his dreams; an inspiration to us all. https://t.co/yw7JqASU2Y",3252,778,United Kingdom,0.8641
8,"Why is no one talking about ending freedom of movement for British people on 1 November 2019? You know, it's reciprocal, not only for the pesky EU migrants.",3118,1060,United Kingdom,0.2023
9,"Over 50 economic migrants have been spotted crossing the English Channel this morning, in canoes...Pick them up and send them back immediately. Rewarding those who act illegally and encourage others to embark on such a perilous journey would be gravely irresponsible!",3106,1240,United Kingdom,0.3802
10,Rep. Ilhan Omar is demanding that the United Nations take control of the U.S. border with Mexico in a mirror of how Europe was inundated with migrants following lobbying from international bodies.https://t.co/BS5MtuukxK,3103,1555,United Kingdom,0.1531
11,"The former director of Germany's foreign intelligence service has accused Angela Merkel of creating a ""security crisis"" in Germany as a result of her open border refugee policy.https://t.co/JLmQXAy1io",3058,1253,United Kingdom,0.1027
12,"The #Brexit project is emerging ever more clearly as:- deregulatory, to put profit before protecting workers, consumers or the environment - xenophobic, scapegoating foreigners &amp; migrants - undemocratic, refusing to allow the public or parliament a say on where it ends up",2781,1156,United Kingdom,0.624
13,after we leave the EU  food will apparently be held up at Calais but migrants will still filter through without being hindered human trafficking is obviously easier than the supply of broccoli,2680,887,United Kingdom,0.5574
14,Germany To Strip Asylum Status of 'Refugees' Who Go Home on Holiday https://t.co/LfyRg5zEFl,2645,1137,United Kingdom,0.4019
15,"I am very much in favour of helping refugees flee war-torn countries, but the last time I looked France was one of the most civilised and tolerant nations on Earth. You may enter a safe country, such as France, as a refugee. But you don't leave as one. https://t.co/j9x5s64L4x",2463,747,United Kingdom,0.8689
16,Far right Britain First patrolling beaches to 'catch migrants'No wonder Wetherspoons profits are down.  https://t.co/Qu92u2VY7S via @MetroUK,2116,546,United Kingdom,0.1779
17,"We're told that economic migrants crossing the Channel will be sent home, so why are there still 40,000+ in the country?@patel4witham and @BorisJohnson must crack down hard on illegal immigrants. News like this will only further incentivize more and more to try their luck! ",1813,896,United Kingdom,0.2003
18,John Humphrey's said @BBCNews is too sympathetic on transgender issues.Add to that :MigrantsAsylum seekersClimate change activists Gay rightsMuslimsAnyone not British Remainers Labour supporters Lists goes on https://t.co/Vl6adMJkew,1597,665,United Kingdom,0.7351
19,"Amazing to think that an account like this can get verified on Twitter.We are 100% clear about the fantastic net contribution that migrants make to our NHS, please RT if you are too. https://t.co/hc8qx4up7f",1557,1558,United Kingdom,0.93
20,"The head of United Nations Global Communications says that it is a ""right"" for migrants to illegally enter the United States.https://t.co/sQb2hkLber",1543,1032,United Kingdom,0.6808
21,"PS36,700? Well, I guess I won't be a desirable migrant even if I got that best case scenario Cambridge postdoc job after my PhD.https://t.co/S6m7wJ5oY3",1532,559,United Kingdom,0.6529
22,"Your @DavidLammy father ran off, leaving your mother with 4 kids to be raised with taxpayer funds. They appear to have given us little more than a Guyana-style race baiting politician. Thanks for all the love, but we only want high skilled migrants that pay above average taxes. https://t.co/Yhdl1zVFBP",1520,480,United Kingdom,0.5267
23,Boris Johnson warns migrants trying to cross the English Channel in boats: we will send you back. Finally we Brits have a Prime Minister who cares about our borders let's just hope he keeps his word. https://t.co/3oJ4vetU44,1445,925,United Kingdom,0.6705
24,Actor Richard Gere's been filmed on a rescue ship which picked up 121 migrants in the Mediterranean Sea. The Pretty Woman star brought supplies to the ship and even shared photos of his newborn son with those on board. Latest video here: https://t.co/mr5gRdzNul https://t.co/98gznZlsui,1424,347,United Kingdom,0.836
25,"As well as delivering fresh Qurbani meat, our field staff have been busy providing food parcels to Palestinian refugees across Gaza, the West Bank and refugee camps in Jordan and Lebanon. Thank you for supporting Palestinians in need this Eid Al Adha! #AHolyDuty https://t.co/XYQQBCScQt",1253,18,United Kingdom,0.8439
26,Great journalism by Sky. Jeremy &amp; Boris's views on Refugees. They should do this with every policy area. https://t.co/DwUG61ii2D,1251,831,United Kingdom,0.6249
27,Germany to strip 'refugees' who go home on holiday. Why doesn't UK do this @patel4witham?https://t.co/4xfVPb2IW4,1199,577,United Kingdom,0.4019
28,"So, let me get this right.. labour are a leave &amp; remain party who plan to scrap private schools, open the floodgates to migrants, make a deal with the EU then vote against it,  give loads of free shit away, seize empty properties and lower the voting age to 16?Sounds great!",1158,533,United Kingdom,0.5562
29,Surely the solution to the migrant crisis is to hand out the #Yellowhammer papers free in Calais. NF,1133,280,United Kingdom,0.765
30,"THREAD  What Brexiters don't realise is that skilled migrants don't just want to be 'permitted' to work in the UK. They want to be welcomed and celebrated!Immigrants move countries because they like exploring cultures and having a successful, happy life and career.",1123,311,United Kingdom,0.9427
31,WOW!!! Soubry says 'white working class' Leave voters have 'probably never even seen a migrant' https://t.co/PUaMN9OiPC,1107,680,United Kingdom,0.7359
32,"Khan met UN Secretary-General, SG Antonio appreciated the people of Pakistan for hosting the biggest number of refugees and calling them their brothers and sisters, He also appreciated the Pakistani peacekeepers all over the world sacrificing their lives protecting civilians.",1034,145,United Kingdom,0.8591
33,"@matthaig1 If a fish being caught in ""British waters"" makes it a ""British fish"" can we accept that refugees getting fished out of ""British waters"" are  British too? Think that gives them a passport and automatic right to remain. I think I like this idea",1029,196,United Kingdom,0.6249
34,"This is why we support @jeremycorbyn.   My wife is a Palestinian refugee and JC showed not just interest, but real care and compassion tonight.#JC4PM2019 @zachzichzoch https://t.co/nMGqdoUJmo",1018,398,United Kingdom,0.8559
35,22 migrants intercepted in the channel and returned to France. Hey ho ye ha.  @patel4witham @BorisJohnson,1017,270,United Kingdom,0.34
36,"over 2,000 people attended this free vienna pop-up gig we put together with Open Piano For Refugees, on karlsplatz. historic. thank you all for coming together to make this happen. photos: @gmotophotos. https://t.co/AbYlwn94Cr",968,83,United Kingdom,0.7488
37,The migrant who pushed an 8 year old boy under a train had appeared in a campaign to promote integration. How fitting that one of the poster boys for this multicultural project has gone on to reveal the threat it poses to the safety of the European people. https://t.co/owUzn8WxHv,962,557,United Kingdom,0.25
38,Italy to fine migrant rescue boats up to EUR1 million as tough Salvini law passes https://t.co/LXx3AdZgor,955,409,United Kingdom,0.5574
39,"Ten migrant NGO ships are now massing in the Mediterranean in anticipation of Italian ports being re-opened, something that will incentivize millions more migrants to head north. https://t.co/V8kozW7Aye",955,579,United Kingdom,0.1027
40,Actor Richard Gere's been filmed on a rescue ship which picked up 121 migrants in the Mediterranean Sea. The Pretty Woman star brought supplies to the ship and even shared photos of his newborn son with those on board. Latest video here: https://t.co/mr5gRdRolT https://t.co/nsfQzH6n74,951,212,United Kingdom,0.836
41,"Germany: ""Refugees who return home on holiday will have asylum status revoked"" - Voice of Europe https://t.co/3Zt2MUpmco",942,458,United Kingdom,0.4019
42,Hmmm I wonder why predominantly white English speaking migrants would be more acceptable to the Brexiters. https://t.co/iI0DDjg7Oz,929,185,United Kingdom,0.3804
43,"Excited to &amp; happy announce that I have just joined the @LibDems - how could I not follow @lucianaberger? The party has been consistent on issues close to my heart, refugees &amp; Europe. Looking forward to making my own contributions. Hi @josWinson and team! https://t.co/K5Yph8MYSm",906,251,United Kingdom,0.8439
44,"When you gv opportunities such as education, these @Refugees have the potential and ability to excel in life. These are students from #Dadaab who won scholarships to study in Canada. They will be leaving in 10 days. What a great way to escape the protracted refugee camp. #Somalia https://t.co/DIEv4iVGwB",902,227,United Kingdom,0.9468
45,Exclusive:Govt warned by Home Office officials Britain could face 'another Windrush' over attempts to end free movement of EU migrants overnight on Oct 31Paper discussed by Brexit XO last week recommended continuing free movement until 2021Plans were rejected by ministers,873,847,United Kingdom,0.5423
46,Amazing to see so many British economic migrants (I refuse to use the term Ex Pats) rabidly promoting Brexit from the comfort of their homes in France and Spain?The cognitive dissonance is astounding ,867,80,United Kingdom,0.8555
47,"HUMANITY OVERLOAD [?]I love seeing children laugh &amp; smile especially children who are refugees !These 3 boys in this video are brothers ( #Syrian Refugees )who are suffering from a genetic disorder, @Khalsa_Aid is supporting them with essential items every month @DJNoreenKhan https://t.co/m7oQlvNk6Q",864,196,United Kingdom,0.6661
48,EU migrants in Britain claimed more than PS4bn a year in benefits https://t.co/uDyF13KZ8C,856,1018,United Kingdom,0.3818
49,"Good to see @BorisJohnson warn migrants not to try to enter the UK illegally.Dozens of people, including children, were intercepted yesterday in several incidents at sea and on the south coast.Over 1000 have attempted the crossing this year""We will send you back."" https://t.co/9GqoHW3JSm",851,228,United Kingdom,0.3612
50,"Without doubt this is my favourite and most emotional weeks of the year!The week when I get to be part of the @GISH community as their Change A Life Ambassador. Together we have rehoused Syrian refugee families, saved a Dance school in South Africa and last year set up a....",845,178,United Kingdom,0.358
51,"It is perfectly possible to plan for utilities, doctors, schools and transport. People go where jobs are created. We're just rubbish at doing it. And since EU27 migrants are - by any measure - net contributors, their absence would mean LESS MONEY for public services, not more.",840,130,United Kingdom,0.7351
52,"Mei Ling was starting to regret her ""refugees welcome"" placard https://t.co/u3WDuC5HJR",791,201,United Kingdom,0.0516
53,"They are contemplating raising the pension age to 75 hoping to save PS172 billion. This is of course down to the millions of migrants pouring into the country whose elderly have not paid into the system. The pie you were once entitled to a piece of, is now mere crumbs !",788,466,United Kingdom,0.8122
54,"@MeAndVan @Arjen78 Stories like this proves there is still good left in a dystopian world. Being a refugee ain't easy, having to flee your country in order for you to have a better life for yourself and for your family. Massive respect to good honest people like him, who will always be remembered! https://t.co/5Qp4tVLqaC",767,40,United Kingdom,0.9516
55,"Fresh from ""refugee"" boat landing at Skegness, brother Imran head straight for nearest place where vulnerable girls will be hanging around, although there is always time for a quick nap before starting grooming https://t.co/yxS0pZyT0G",753,185,United Kingdom,0.3182
56,"Members of the Fire Brigades Union will travel to Calais next Wednesday, to deliver food, clothes and other essentials, to try and help make the lives of refugees there a little more bearable https://t.co/jJvagatkPS",733,365,United Kingdom,0.0772
57,Philip Lee demanded that migrants who are HIV positive be barred from entry to the UK. Why have the Lib Dems welcomed such a hateful bigot? https://t.co/bL79V8dzPD,727,274,United Kingdom,0.2263
58,I sent this reply to Diane Abbott and have been proper battered for it ! For clarification all I'm saying is UK should have rescue boats in the English Channel to help migrants to shore. If they are closer to England give them asylum. I can't see what is wrong with this? https://t.co/09d99OiDLW,717,122,United Kingdom,0.4926
59,Wonderful point! Why not ask illegal migrants to carry over our medicines and broccoli! https://t.co/T2ngxYncs5,710,161,United Kingdom,0.8024
60,"Top 10 countries which host the most refugees (UNHCR, 2017):: 3,480,000: 1,390,000: 1,350,000: 998,000: 979,000: 970,000: 932,000: 907,000: 691,000: 337,000When mainstream press ask 'why don't they go to neighbouring countries?' They already have",710,333,United Kingdom,0.2023
61,"I hear a lot of people have ""genuine concerns"" that migrants drive down wages because they're paid below minimum wage or generally underpaid. While you're at it, how about advocating better minimum wage enforcement, a higher minimum wage and/or checks on dodgy businesses?",704,155,United Kingdom,0.25
62,"This isn't about abandoning criticisms of Labour - I have many, failing to make the case for freedom of movement, defending migrants and refugees, not being clearer on Brexit, not being more radical on benefit cuts and wealth taxes. It's about saving the country from destruction.",699,88,United Kingdom,0.6501
63,"BBC propagandising, as usual. Listen, the best place for ""Syrian"" refugees is Syria. Rebuild your own country. We really don't need you here. https://t.co/l0xj8uvCRt",696,207,United Kingdom,0.6369
64,Ran into two fellow Somalis at the @BernieSanders rally in #SiouxCity who are organizing refugees and immigrants. They are responding to hate with love and smile. #BlackLivesMatter #RefugeesWelcome https://t.co/awcHDMQ76C,696,171,United Kingdom,0.4588
